Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
1998,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,FC,Election Committee
1998,Kenneth TING Woo-shou,丁午壽,1,1,Kenneth,Liberal,1,FC,Industrial - First
1998,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,FC,Commercial - First
1998,David CHU Yu-lin,朱幼麟,1,1,David,Progressive Alliance,1,FC,Election Committee
1998,HO Sai-chu,何世柱,1,0,,Liberal,1,FC,Election Committee
1998,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Frontier,0,GC,New Territories East
1998,Edward HO Sing-tin,何承天,1,1,Edward,Liberal,1,FC,"Architectural, Surveying and Planning"
1998,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
1998,Michael HO Mun-ka,何敏嘉,1,1,Michael,Democratic,0,FC,Health Services
1998,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
1998,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
1998,LEE Cheuk-yan,李卓人,1,0,,Frontier,0,GC,New Territories West
1998,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
1998,Eric LI Ka-cheung,李家祥,1,1,Eric,Breakfast Group,1,FC,Accountancy
1998,LEE Kai-ming,李啟明,1,0,,FLU,1,FC,Labour
1998,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
1998,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
1998,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
1998,NG Leung-sing,吳亮星,1,0,,Breakfast Group,1,FC,Election Committee
1998,NG Ching-fai,吳清輝,1,0,,New Forum,1,FC,Election Committee
1998,Margaret NG,吳靄儀,2,1,Margaret,Independent,0,FC,Legal
1998,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,FC,Wholesale and Retail
1998,Ronald ARCULLI,夏佳理,1,1,Ronald,Liberal,1,FC,Real Estate and Construction
1998,MA Fung-kwok,馬逢國,1,0,,New Forum,1,FC,Election Committee
1998,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
1998,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
1998,Ambrose CHEUNG Wing-sum,張永森,1,1,Ambrose,Independent,1,FC,Urban Council
1998,HUI Cheung-ching,許長青,1,0,,Progressive Alliance,1,FC,Import and Export
1998,Christine LOH,陸恭蕙,2,1,Christine,Citizens Party,0,GC,Hong Kong Island
1998,CHAN Kwok-keung,陳國強,1,0,,DAB,1,FC,Labour
1998,CHAN Yuen-han,陳婉嫻,2,0,,DAB,1,GC,Kowloon East
1998,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
1998,CHAN Wing-chan,陳榮燦,1,0,,DAB,1,FC,Labour
1998,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,FC,Election Committee
1998,Edward LEONG Che-hung,梁智鴻,1,1,Edward,Breakfast Group,1,FC,Medical
1998,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
1998,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
1998,Gary CHENG Kai-nam,程介南,1,1,Gary,DAB,1,GC,Hong Kong Island
1998,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
1998,Andrew WONG Wang-fat,黃宏發,1,1,Andrew,Independent,0,GC,New Territories East
1998,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
1998,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
1998,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
1998,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
1998,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
1998,YEUNG Yiu-chung,楊耀忠,1,0,,DAB,1,FC,Election Committee
1998,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
1998,LAU Chin-shek,劉千石,1,0,,Democratic,0,GC,Kowloon West
1998,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
1998,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,Heung Yee Kuk
1998,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
1998,Ambrose LAU Hon-chuen,劉漢銓,1,1,Ambrose,Progressive Alliance,1,FC,Election Committee
1998,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
1998,TANG Siu-tong,鄧兆棠,1,0,,Progressive Alliance,1,FC,Regional Council
1998,CHOY So-yuk,蔡素玉,2,0,,Progressive Alliance,1,FC,Election Committee
1998,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
1998,SZETO Wah,司徒華,1,0,,Democratic,0,GC,Kowloon East
1998,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
1998,LAW Chi-kwong,羅致光,1,0,,Democratic,0,FC,Social Welfare
1998,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
1998,FUNG Chi-kin,馮志堅,1,0,,Progressive Alliance,1,FC,Financial Services
2000,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,FC,Election Committee
2000,Kenneth TING Woo-shou,丁午壽,1,1,Kenneth,Liberal,1,FC,Industrial - First
2000,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,FC,Commercial - First
2000,David CHU Yu-lin,朱幼麟,1,1,David,Progressive Alliance,1,FC,Election Committee
2000,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Frontier,0,GC,Hong Kong Island
2000,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
2000,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
2000,LEE Cheuk-yan,李卓人,1,0,,CTU,0,GC,New Territories West
2000,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
2000,Eric LI Ka-cheung,李家祥,1,1,Eric,Breakfast Group,1,FC,Accountancy
2000,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
2000,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
2000,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
2000,NG Leung-sing,吳亮星,1,0,,Breakfast Group,1,FC,Election Committee
2000,NG Ching-fai,吳清輝,1,0,,New Forum,1,FC,Election Committee
2000,Margaret NG,吳靄儀,2,1,Margaret,Article 45 Concern Group,0,FC,Legal
2000,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,FC,Wholesale and Retail
2000,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
2000,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
2000,HUI Cheung-ching,許長青,1,0,,Progressive Alliance,1,FC,Import and Export
2000,CHAN Kwok-keung,陳國強,1,0,,DAB,1,FC,Labour
2000,CHAN Yuen-han,陳婉嫻,2,0,,DAB,1,GC,Kowloon East
2000,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
2000,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,GC,Kowloon East
2000,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
2000,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
2000,Gary CHENG Kai-nam,程介南,1,1,Gary,DAB,1,GC,Hong Kong Island
2000,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
2000,Andrew WONG Wang-fat,黃宏發,1,1,Andrew,Independent,0,GC,New Territories East
2000,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
2000,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
2000,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
2000,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
2000,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
2000,YEUNG Yiu-chung,楊耀忠,1,0,,DAB,1,FC,Election Committee
2000,LAU Chin-shek,劉千石,1,0,,CTU,0,GC,Kowloon West
2000,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
2000,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,Heung Yee Kuk
2000,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
2000,Ambrose LAU Hon-chuen,劉漢銓,1,1,Ambrose,Progressive Alliance,1,FC,Election Committee
2000,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
2000,CHOY So-yuk,蔡素玉,2,0,,DAB,1,GC,Hong Kong Island
2000,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
2000,SZETO Wah,司徒華,1,0,,Democratic,0,GC,Kowloon East
2000,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
2000,LAW Chi-kwong,羅致光,1,0,,Democratic,0,FC,Social Welfare
2000,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
2000,TANG Siu-tong,鄧兆棠,1,0,,Progressive Alliance,1,GC,New Territories West
2000,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
2000,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
2000,Henry WU King-cheong,胡經昌,1,1,Henry,Independent,1,FC,Financial Services
2000,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
2000,Michael MAK Kwok-fung,麥國風,1,1,Michael,Independent,0,FC,Health Services
2000,Albert CHAN Wai-yip,陳偉業,1,1,Albert,Democratic,0,GC,New Territories West
2000,LEUNG Fu-wah,梁富華,1,0,,FTU,1,FC,Labour
2000,LO Wing-lok,勞永樂,1,0,,Breakfast Group,1,FC,Medical
2000,WONG Sing-chi,黃成智,1,0,,Democratic,0,GC,New Territories East
2000,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,Kowloon West
2000,IP Kwok-him,葉國謙,1,0,,DAB,1,FC,District Council (First)
2000,Kaizer LAU Ping-cheung,劉炳章,1,1,Kaizer,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
2000,Audrey EU Yuet-mee,余若薇,2,1,Audrey,Article 45 Concern Group,0,GC,Hong Kong Island
2000,MA Fung-kwok,馬逢國,1,0,,New Forum,1,FC,Election Committee
2004,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,GC,Hong Kong Island
2004,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,GC,New Territories East
2004,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
2004,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
2004,LEE Cheuk-yan,李卓人,1,0,,CTU,0,GC,New Territories West
2004,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
2004,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
2004,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
2004,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
2004,Margaret NG,吳靄儀,2,1,Margaret,Civic Party,0,FC,Legal
2004,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,GC,New Territories West
2004,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
2004,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
2004,CHAN Yuen-han,陳婉嫻,2,0,,FTU,1,GC,Kowloon East
2004,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
2004,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,GC,Kowloon East
2004,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
2004,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
2004,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
2004,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
2004,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
2004,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
2004,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
2004,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
2004,LAU Chin-shek,劉千石,1,0,,Independent,0,GC,Kowloon West
2004,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
2004,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,District Council (First)
2004,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
2004,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
2004,CHOY So-yuk,蔡素玉,2,0,,DAB,1,GC,Hong Kong Island
2004,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
2004,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
2004,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
2004,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
2004,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
2004,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
2004,Albert CHAN Wai-yip,陳偉業,1,1,Albert,LSD,0,GC,New Territories West
2004,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,Kowloon West
2004,Audrey EU Yuet-mee,余若薇,2,1,Audrey,Civic Party,0,GC,Hong Kong Island
2004,Vincent FANG Kang,方剛,1,1,Vincent,Liberal,1,FC,Wholesale and Retail
2004,WONG Kwok-hing,王國興,1,0,,FTU,1,FC,Labour
2004,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
2004,LI Kwok-ying,李國英,1,0,,DAB,1,GC,New Territories East
2004,Joseph LEE Kok-long,李國麟,1,1,Joseph,Independent,0,FC,Health Services
2004,Daniel LAM Wai-keung,林偉強,1,1,Daniel,Independent,1,FC,Heung Yee Kuk
2004,Jeffrey LAM Kin-fung,林健鋒,1,1,Jeffrey,Liberal,1,FC,Commercial - First
2004,MA Lik,馬力,1,0,,DAB,1,GC,Hong Kong Island
2004,Andrew LEUNG Kwan-yuen,梁君彥,1,1,Andrew,Liberal,1,FC,Industrial - First
2004,Alan LEONG Kah-kit,梁家傑,1,1,Alan,Civic Party,0,GC,Kowloon East
2004,LEUNG Kwok-hung,梁國雄,1,0,,LSD,0,GC,New Territories East
2004,KWOK Ka-ki,郭家麒,1,0,,Independent,0,FC,Medical
2004,Fernando CHEUNG Chiu-hung,張超雄,1,1,Fernando,Civic Party,0,FC,Social Welfare
2004,CHEUNG Hok-ming,張學明,1,0,,DAB,1,GC,New Territories West
2004,WONG Ting-kwong,黃定光,1,0,,DAB,1,FC,Import and Export
2004,Ronny TONG Ka-wah,湯家驊,1,1,Ronny,Civic Party,0,GC,New Territories East
2004,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
2004,Patrick LAU Sau-shing,劉秀成,1,1,Patrick,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
2004,Albert Jinghan CHENG,鄭經翰,1,1,Albert,Independent,0,GC,Kowloon East
2004,KWONG Chi-kin,鄺志堅,1,0,,FTU,1,FC,Labour
2004,Mandy TAM Heung-man,譚香文,2,1,Mandy,Civic Party,0,FC,Accountancy
2004,Anson CHAN,陳方安生,2,1,Anson,Independent,0,GC,Hong Kong Island
2008,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Hong Kong Island
2008,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
2008,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
2008,LEE Cheuk-yan,李卓人,1,0,,Labour,0,GC,New Territories West
2008,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
2008,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
2008,Margaret NG,吳靄儀,2,1,Margaret,Civic Party,0,FC,Legal
2008,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
2008,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
2008,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,GC,Kowloon East
2008,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
