,Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
0,1998,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,FC,Election Committee
1,1998,Kenneth TING Woo-shou,丁午壽,1,1,Kenneth,Liberal,1,FC,Industrial - First
2,1998,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,FC,Commercial - First
3,1998,David CHU Yu-lin,朱幼麟,1,1,David,Progressive Alliance,1,FC,Election Committee
4,1998,HO Sai-chu,何世柱,1,0,,Liberal,1,FC,Election Committee
5,1998,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Frontier,0,GC,New Territories East
6,1998,Edward HO Sing-tin,何承天,1,1,Edward,Liberal,1,FC,"Architectural, Surveying and Planning"
7,1998,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
8,1998,Michael HO Mun-ka,何敏嘉,1,1,Michael,Democratic,0,FC,Health Services
9,1998,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
10,1998,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
11,1998,LEE Cheuk-yan,李卓人,1,0,,Frontier,0,GC,New Territories West
12,1998,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
13,1998,Eric LI Ka-cheung,李家祥,1,1,Eric,Breakfast Group,1,FC,Accountancy
14,1998,LEE Kai-ming,李啟明,1,0,,FLU,1,FC,Labour
15,1998,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
16,1998,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
17,1998,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
18,1998,NG Leung-sing,吳亮星,1,0,,Breakfast Group,1,FC,Election Committee
19,1998,NG Ching-fai,吳清輝,1,0,,New Forum,1,FC,Election Committee
20,1998,Margaret NG,吳靄儀,2,1,Margaret,Independent,0,FC,Legal
21,1998,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,FC,Wholesale and Retail
22,1998,Ronald ARCULLI,夏佳理,1,1,Ronald,Liberal,1,FC,Real Estate and Construction
23,1998,MA Fung-kwok,馬逢國,1,0,,New Forum,1,FC,Election Committee
24,1998,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
25,1998,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
26,1998,Ambrose CHEUNG Wing-sum,張永森,1,1,Ambrose,Independent,1,FC,Urban Council
27,1998,HUI Cheung-ching,許長青,1,0,,Progressive Alliance,1,FC,Import and Export
28,1998,Christine LOH,陸恭蕙,2,1,Christine,Citizens Party,0,GC,Hong Kong Island
29,1998,CHAN Kwok-keung,陳國強,1,0,,DAB,1,FC,Labour
30,1998,CHAN Yuen-han,陳婉嫻,2,0,,DAB,1,GC,Kowloon East
31,1998,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
32,1998,CHAN Wing-chan,陳榮燦,1,0,,DAB,1,FC,Labour
33,1998,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,FC,Election Committee
34,1998,Edward LEONG Che-hung,梁智鴻,1,1,Edward,Breakfast Group,1,FC,Medical
35,1998,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
36,1998,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
37,1998,Gary CHENG Kai-nam,程介南,1,1,Gary,DAB,1,GC,Hong Kong Island
38,1998,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
39,1998,Andrew WONG Wang-fat,黃宏發,1,1,Andrew,Independent,0,GC,New Territories East
40,1998,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
41,1998,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
42,1998,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
43,1998,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
44,1998,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
45,1998,YEUNG Yiu-chung,楊耀忠,1,0,,DAB,1,FC,Election Committee
46,1998,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
47,1998,LAU Chin-shek,劉千石,1,0,,Democratic,0,GC,Kowloon West
48,1998,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
49,1998,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,Heung Yee Kuk
50,1998,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
51,1998,Ambrose LAU Hon-chuen,劉漢銓,1,1,Ambrose,Progressive Alliance,1,FC,Election Committee
52,1998,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
53,1998,TANG Siu-tong,鄧兆棠,1,0,,Progressive Alliance,1,FC,Regional Council
54,1998,CHOY So-yuk,蔡素玉,2,0,,Progressive Alliance,1,FC,Election Committee
55,1998,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
56,1998,SZETO Wah,司徒華,1,0,,Democratic,0,GC,Kowloon East
57,1998,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
58,1998,LAW Chi-kwong,羅致光,1,0,,Democratic,0,FC,Social Welfare
59,1998,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
60,1998,FUNG Chi-kin,馮志堅,1,0,,Progressive Alliance,1,FC,Financial Services
109,2000,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
110,2000,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
111,2000,Henry WU King-cheong,胡經昌,1,1,Henry,Independent,1,FC,Financial Services
112,2000,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
113,2000,Michael MAK Kwok-fung,麥國風,1,1,Michael,Independent,0,FC,Health Services
114,2000,Albert CHAN Wai-yip,陳偉業,1,1,Albert,Democratic,0,GC,New Territories West
115,2000,LEUNG Fu-wah,梁富華,1,0,,FTU,1,FC,Labour
116,2000,LO Wing-lok,勞永樂,1,0,,Breakfast Group,1,FC,Medical
117,2000,WONG Sing-chi,黃成智,1,0,,Democratic,0,GC,New Territories East
118,2000,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,Kowloon West
119,2000,IP Kwok-him,葉國謙,1,0,,DAB,1,FC,District Council (First)
120,2000,Kaizer LAU Ping-cheung,劉炳章,1,1,Kaizer,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
121,2000,Audrey EU Yuet-mee,余若薇,2,1,Audrey,Article 45 Concern Group,0,GC,Hong Kong Island
162,2004,Vincent FANG Kang,方剛,1,1,Vincent,Liberal,1,FC,Wholesale and Retail
163,2004,WONG Kwok-hing,王國興,1,0,,FTU,1,FC,Labour
165,2004,LI Kwok-ying,李國英,1,0,,DAB,1,GC,New Territories East
166,2004,Joseph LEE Kok-long,李國麟,1,1,Joseph,Independent,0,FC,Health Services
167,2004,Daniel LAM Wai-keung,林偉強,1,1,Daniel,Independent,1,FC,Heung Yee Kuk
168,2004,Jeffrey LAM Kin-fung,林健鋒,1,1,Jeffrey,Liberal,1,FC,Commercial - First
169,2004,MA Lik,馬力,1,0,,DAB,1,GC,Hong Kong Island
170,2004,Andrew LEUNG Kwan-yuen,梁君彥,1,1,Andrew,Liberal,1,FC,Industrial - First
171,2004,Alan LEONG Kah-kit,梁家傑,1,1,Alan,Civic Party,0,GC,Kowloon East
172,2004,LEUNG Kwok-hung,梁國雄,1,0,,LSD,0,GC,New Territories East
173,2004,KWOK Ka-ki,郭家麒,1,0,,Independent,0,FC,Medical
174,2004,Fernando CHEUNG Chiu-hung,張超雄,1,1,Fernando,Civic Party,0,FC,Social Welfare
175,2004,CHEUNG Hok-ming,張學明,1,0,,DAB,1,GC,New Territories West
176,2004,WONG Ting-kwong,黃定光,1,0,,DAB,1,FC,Import and Export
177,2004,Ronny TONG Ka-wah,湯家驊,1,1,Ronny,Civic Party,0,GC,New Territories East
179,2004,Patrick LAU Sau-shing,劉秀成,1,1,Patrick,Breakfast Group,1,FC,"Architectural, Surveying and Planning"
180,2004,Albert Jinghan CHENG,鄭經翰,1,1,Albert,Independent,0,GC,Kowloon East
181,2004,KWONG Chi-kin,鄺志堅,1,0,,FTU,1,FC,Labour
182,2004,Mandy TAM Heung-man,譚香文,2,1,Mandy,Civic Party,0,FC,Accountancy
183,2004,Anson CHAN,陳方安生,2,1,Anson,Independent,0,GC,Hong Kong Island
221,2008,KAM Nai-wai,甘乃威,1,0,,Democratic,0,GC,Hong Kong Island
223,2008,Starry LEE Wai-king,李慧琼,2,1,Starry,DAB,1,GC,Kowloon West
224,2008,LAM Tai-fai,林大輝,1,0,,Independent,1,FC,Industrial - Second
225,2008,CHAN Hak-kan,陳克勤,1,0,,DAB,1,GC,New Territories East
226,2008,Paul CHAN Mo-po,陳茂波,1,1,Paul,Independent,1,FC,Accountancy
227,2008,CHAN Kin-por,陳健波,1,0,,Independent,1,FC,Insurance
228,2008,Priscilla LEUNG Mei-fun,梁美芬,2,1,Priscilla,Breakfast Group,1,GC,Kowloon West
229,2008,LEUNG Ka-lau,梁家騮,1,0,,Independent,1,FC,Medical
230,2008,CHEUNG Kwok-che,張國柱,1,0,,Labour,0,FC,Social Welfare
232,2008,WONG Kwok-kin,黃國健,1,0,,FTU,1,GC,Kowloon East
233,2008,IP Wai-ming,葉偉明,1,0,,FTU,1,FC,Labour
235,2008,Regina IP LAU Suk-yee,葉劉淑儀,2,1,Regina,New People's Party,1,GC,Hong Kong Island
236,2008,PAN Pey-chyou,潘佩璆,1,0,,FTU,1,FC,Labour
237,2008,Paul TSE Wai-chun,謝偉俊,1,1,Paul,Independent,1,FC,Tourism
238,2008,Samson TAM Wai-ho,譚偉豪,1,1,Samdon,Independent,1,FC,Information Technology
241,2008,Tanya CHAN,陳淑莊,2,1,Tanya,Civic Party,0,GC,Hong Kong Island
243,2008,WONG Yuk-man,黃毓民,1,0,,People Power,0,GC,Kowloon West
279,2012,Claudia MO,毛孟靜,2,1,Claudia,Civic Party,0,GC,Kowloon West
280,2012,Michael TIEN Puk-sun,田北辰,1,1,Michael,New People's Party,1,GC,New Territories West
283,2012,Steven HO Chun-yin,何俊賢,1,1,Steven,DAB,1,FC,Agriculture and Fisheries
284,2012,Frankie YICK Chi-ming,易志明,1,1,Frankie,Liberal,1,FC,Transport
285,2012,WU Chi-wai,胡志偉,1,0,,Democratic,0,GC,Kowloon East
286,2012,YIU Si-wing,姚思榮,1,0,,Breakfast Group,1,FC,Tourism
287,2012,Gary FAN Kwok-wai,范國威,1,1,Gary,Neo Democrats,0,GC,New Territories East
289,2012,Charles Peter MOK,莫乃光,1,1,Charles,The Professional Commons,0,FC,Information Technology
290,2012,Ray CHAN Chi-chuen,陳志全,1,1,Ray,People Power,0,GC,New Territories East
291,2012,Ben CHAN Han-pan,陳恒鑌,1,1,Ben,DAB,1,GC,New Territories West
292,2012,Kenneth CHAN Ka-lok,陳家洛,1,1,Kenneth,Civic Party,0,GC,Hong Kong Island
294,2012,LEUNG Che-cheung,梁志祥,1,0,,DAB,1,GC,New Territories West
295,2012,Kenneth LEUNG,梁繼昌,1,1,Kenneth,The Professional Commons,0,FC,Accountancy
296,2012,Alice MAK Mei-kuen,麥美娟,2,1,Alice,FTU,1,GC,New Territories West
298,2012,KWOK Wai-keung,郭偉强,1,0,,FTU,1,FC,Labour
299,2012,Dennis KWOK,郭榮鏗,1,1,Dennis,Civic Party,0,FC,Legal
300,2012,Christopher CHEUNG Wah-fung,張華峰,1,1,Christopher,BPA,1,FC,Financial Services
303,2012,Helena WONG Pik-wan,黃碧雲,2,1,Helena,Democratic,0,GC,Kowloon West
304,2012,IP Kin-yuen,葉建源,1,0,,HKPTU,0,FC,Education
305,2012,Elizabeth QUAT,葛珮帆,2,1,Elizabeth,DAB,1,GC,New Territories East
306,2012,Martin LIAO Cheung-kong,廖長江,1,1,Martin,Breakfast Group,1,FC,Commercial - Second
307,2012,POON Siu-ping,潘兆平,1,0,,FLU,1,FC,Labour
308,2012,Bill TANG Ka-piu,鄧家彪,1,1,Bill,FTU,1,FC,Labour
309,2012,Ann CHIANG Lai-wan,蔣麗芸,2,1,Ann,DAB,1,GC,Kowloon West
310,2012,LO Wai-kwok,盧偉國,1,0,,BPA,1,FC,Engineering
311,2012,Felix CHUNG Kwok-pan,鍾國斌,1,1,Felix,Liberal,1,FC,Textiles and Garment
312,2012,Christopher CHUNG Shu-kun,鍾樹根,1,1,Christopher,DAB,1,GC,Hong Kong Island
313,2012,Tony TSE Wai-chuen,謝偉銓,1,1,Tony,Independent,1,FC,"Architectural, Surveying and Planning"
314,2012,Alvin YEUNG Ngok-kiu,楊岳橋,1,1,Alvin,Civic Party,0,GC,New Territories East
357,2016,Andrew WAN Siu-kin,尹兆堅,1,1,Andrew,Democratic,0,GC,New Territories West
358,2016,Eddie CHU Hoi-dick,朱凱廸,1,1,Eddie,Independent,0,GC,New Territories West
359,2016,Jimmy NG Wing-ka,吳永嘉,1,1,Jimmy,BPA,1,FC,Industrial - Second
360,2016,Junius HO Kwan-yiu,何君堯,1,1,Junius,Independent,1,GC,New Territories West
361,2016,HO Kai-ming,何啟明,1,0,,FTU,1,FC,Labour
362,2016,LAM Cheuk-ting,林卓廷,1,0,,Democratic,0,GC,New Territories East
363,2016,Holden CHOW Ho-ding,周浩鼎,1,1,Holden,DAB,1,GC,District Council (Second)
364,2016,SHIU Ka-fai,邵家輝,1,0,,Liberal,1,FC,Wholesale and Retail
365,2016,SHIU Ka-chun,邵家臻,1,0,,Independent,0,FC,Social Welfare
366,2016,Wilson OR Chong-shing,柯創盛,1,1,Wilson,DAB,1,GC,Kowloon East
367,2016,Eunice YUNG Hoi-yan,容海恩,2,1,Eunice,New People's Party,1,GC,New Territories East
368,2016,Pierre CHAN,陳沛然,1,1,Pierre,Independent,0,FC,Medical
369,2016,Ronick CHAN Chun-ying,陳振英,1,1,Ronick,Independent,1,FC,Finance
371,2016,Horace CHEUNG Kwok-kwan,張國鈞,1,1,Horace,DAB,1,GC,Hong Kong Island
372,2016,HUI Chi-fung,許智峯,1,0,,Democratic,0,GC,Hong Kong Island
373,2016,Michael LUK Chung-hung,陸頌雄,1,1,Michael,FTU,1,FC,Labour
374,2016,Edward LAU Kwok-fan,劉國勳,1,1,Edward,DAB,1,FC,District Council (First)
375,2016,Kenneth LAU Ip-keung,劉業強,1,1,Kenneth,BPA,1,FC,Heung Yee Kuk
376,2016,CHENG Chung-tai,鄭松泰,1,0,,Civic Passion,0,GC,New Territories West
377,2016,Roy KWONG Chun-yu,鄺俊宇,1,1,Roy,Democratic,0,GC,District Council (Second)
378,2016,Jeremy TAM Man-ho,譚文豪,1,1,Jeremy,Civic Party,0,GC,Kowloon West
380,2016,AU Nok-hin,區諾軒,1,0,,Independent,0,GC,Hong Kong Island
381,2016,Vincent CHENG Wing-shun,鄭泳舜,1,1,Vincent,DAB,1,GC,Kowloon West
383,2016,Yan CHAN Hoi-yan,陳凱欣,2,1,Yan,DAB,1,GC,Kowloon West
384,2016,Sixtus LEUNG Chung-hang,梁頌恆,1,1,Sixtus,Youngspiration,0,GC,New Territories East
385,2016,YAU Wai-ching,游蕙禎,2,0,,Youngspiration,0,GC,Kowloon West
387,2016,Nathan LAW Kwun-chung,羅冠聰,1,1,Nathan,Demosistō,0,GC,Hong Kong Island
388,2016,Edward YIU Chung-yim,姚松炎,1,1,Edward,Independent,0,FC,"Architectural, Surveying and Planning"
389,2016,LAU Siu-lai,劉小麗,2,0,,Democracy Groundwork,0,GC,Kowloon West
